d,seed,ck_contemp_auroc,ck_contemp_f1,ck_lag_auroc,h_W0,notears_contemp_auroc,time_s
6,0,0.9753086419753086,0.8,1.0,0.001422882080078125,0.7283950617283951,1.9
6,1,0.9903846153846154,0.8888888888888888,0.9638009049773756,0.0017557144165039062,0.6346153846153846,1.8
6,2,0.6875,0.5263157894736842,0.73,0.0022745132446289062,0.7222222222222223,2.3
6,3,0.8888888888888888,0.7142857142857143,0.9715909090909091,0.004101276397705078,0.6597222222222221,1.9
6,4,0.8846153846153846,0.6666666666666666,0.9502262443438914,2.002716064453125e-05,0.596153846153846,1.9
10,0,0.49,0.22857142857142856,0.6508620689655173,0.0,0.656875,3.3
10,1,0.907051282051282,0.7692307692307693,0.845679012345679,0.00146484375,0.6602564102564102,2.8
10,2,0.5844155844155844,0.375,0.9054520358868184,7.152557373046875e-05,0.5274725274725275,3.1
10,4,0.5694305694305695,0.4,0.7160493827160493,0.0011301040649414062,0.6508491508491508,2.9
