model,mse_mean,mse_std,mae_mean,mae_std,time_mean
TSMixer+RevIN,0.024490293115377426,0.0019127113707789474,0.10322534044583638,0.005137229351814403,12.766666666666666
PatchTST+RevIN,0.028417684758702915,0.0004901683440419028,0.11269526307781537,0.0006270807307234196,10.966666666666667
CD-KAN,0.029314533186455567,0.00020528020947032166,0.1151630071302255,0.00047317782168914573,357.3333333333333
N-BEATS+RevIN,0.030097690410912037,0.00025018709861095916,0.11889453728993733,0.0005408050550114546,3.5
LSTM+RevIN,0.05349676559368769,0.0028383103578133594,0.15847338984409967,0.003385254154611293,10.666666666666666
TSMixer,0.22518077492713928,0.034229303909542104,0.356167475382487,0.037552384987823866,15.200000000000001
N-BEATS,1.071032519141833,0.34394005475095707,0.7382340580224991,0.0786406592932164,2.7999999999999994
PatchTST,2.2710634420315423,0.06103660223986987,0.9611147244771322,0.014801156459605204,10.733333333333334
LSTM,3.3447723388671875,0.0938852631355799,1.2502242128054302,0.04176033923740455,12.9
