fold,val_mse,h_W,edge_density,n_epochs
1,0.5076868534088135,0.011758804321289,1.0,150
2,0.7949653267860413,0.0111370086669921,1.0,150
3,0.9837184548377991,0.017290115356445312,1.0,150
