date,dissim
2017-08-23,0.736842105263158
2017-09-12,0.736842105263158
2017-10-02,0.736842105263158
2017-10-22,0.6666666666666667
2017-11-11,0.6666666666666667
2017-12-01,0.8
2017-12-21,0.6666666666666667
2018-01-10,0.8
2018-01-30,0.5882352941176471
2018-02-19,0.736842105263158
2018-03-11,0.736842105263158
2018-03-31,0.736842105263158
2018-04-20,0.6666666666666667
2018-05-10,0.5882352941176471
2018-05-30,0.736842105263158
2018-06-19,0.736842105263158
2018-07-09,0.6666666666666667
2018-07-29,0.6666666666666667
2018-08-18,0.5882352941176471
2018-09-07,0.5882352941176471
2018-09-27,0.6666666666666667
2018-10-17,0.8
2018-11-06,0.736842105263158
2018-11-26,0.6666666666666667
2018-12-16,0.6666666666666667
2019-01-05,0.736842105263158
2019-01-25,0.6666666666666667
2019-02-14,0.8
2019-03-06,0.8
2019-03-26,0.5882352941176471
2019-04-15,0.736842105263158
2019-05-05,0.736842105263158
2019-05-25,0.8
2019-06-14,0.6666666666666667
2019-07-04,0.736842105263158
2019-07-24,0.736842105263158
2019-08-13,0.8
2019-09-02,0.6666666666666667
2019-09-22,0.8571428571428572
2019-10-12,0.736842105263158
2019-11-01,0.736842105263158
2019-11-21,0.736842105263158
2019-12-11,0.8571428571428572
2019-12-31,0.8
2020-01-20,0.8571428571428572
2020-02-09,0.8
2020-02-29,0.8571428571428572
2020-03-20,0.8
2020-04-09,0.6666666666666667
2020-05-01,0.736842105263158
2020-05-21,0.5
2020-06-10,0.736842105263158
2020-06-30,0.8571428571428572
2020-07-20,0.736842105263158
2020-08-09,0.8571428571428572
2020-08-29,0.9090909090909091
2020-09-18,0.736842105263158
2020-10-08,0.8571428571428572
2020-10-28,0.8571428571428572
2020-11-17,0.8
2020-12-07,0.9090909090909091
2020-12-27,0.736842105263158
2021-01-16,0.8
2021-02-05,0.9090909090909091
2021-02-25,0.9090909090909091
2021-03-17,0.8
2021-04-06,0.736842105263158
2021-04-26,0.8571428571428572
2021-05-16,0.8571428571428572
2021-06-05,0.8571428571428572
2021-06-25,0.8571428571428572
2021-07-15,0.6666666666666667
2021-08-04,0.9090909090909091
2021-08-24,0.8571428571428572
2021-09-13,0.6666666666666667
2021-10-03,0.9090909090909091
2021-10-23,0.9090909090909091
2021-11-12,0.8571428571428572
2021-12-02,0.9090909090909091
2021-12-22,0.9565217391304348
2022-01-11,0.8
2022-01-31,0.8571428571428572
2022-02-20,0.8571428571428572
2022-03-12,0.8
2022-04-01,0.8571428571428572
2022-04-21,0.6666666666666667
2022-05-11,0.5
2022-05-31,0.8
2022-06-20,0.736842105263158
2022-07-10,0.736842105263158
2022-07-30,0.5882352941176471
2022-08-19,0.736842105263158
2022-09-08,0.6666666666666667
2022-09-28,0.736842105263158
2022-10-18,0.6666666666666667
2022-11-07,0.5
2022-11-27,0.736842105263158
2022-12-17,0.736842105263158
2023-01-06,0.736842105263158
2023-01-26,0.6666666666666667
2023-02-15,0.736842105263158
2023-03-07,0.8
2023-03-27,0.6666666666666667
2023-04-16,0.736842105263158
2023-05-06,0.8
2023-05-26,0.8
2023-06-15,0.8
2023-07-05,0.8
2023-07-25,0.8571428571428572
2023-08-14,0.8
2023-09-03,0.8
2023-09-23,0.8
2023-10-13,0.8571428571428572
2023-11-02,0.8
2023-11-22,0.736842105263158
