method,auroc,auroc_std,auprc,auprc_std,f1,f1_std,t
SPADE,0.9312119048445864,0.04246479540837163,0.8386042905693013,0.1051636425934539,0.8566152258406746,0.07334475897004929,2.673076923076923
DAGMA-nonlinear,0.5896501909305818,0.18744834540624963,0.3749729659153728,0.18316552857906793,0.4824226440248449,0.15121964712259484,73.33846153846153
SCORE,0.8400151369662393,0.10493098819885624,0.538252259732809,0.2287862635649556,0.6818232688981392,0.1830232854025276,227.90769230769232
NoGAM,0.9331818181818182,0.06451483268492318,0.7741818181818182,0.18872722017865795,0.8585454545454546,0.12395996421132398,1422.1818181818182
GraN-DAG,0.5156630286025503,0.04573991949946243,0.16450311702027948,0.10522611894198007,0.23879354397760066,0.11066425578321755,13.73076923076923
NOTEARS-MLP,0.6139730494995693,0.08709011113105548,0.20657037839814352,0.10267828235508929,0.3496306787540736,0.11434887938330739,1.6846153846153844
GOLEM,0.7236230818272739,0.09501382082918473,0.3172937303290881,0.13601142259122148,0.4490496806933433,0.15872234814488137,10.846153846153847
DAGMA-linear,0.5008379553296947,0.17597652516507092,0.22432697369815313,0.1408884016408387,0.36444843997558396,0.14335716779873706,1.6615384615384616
NOTEARS-linear,0.7760067484130766,0.10078555035532538,0.4235613600765652,0.11282464947404708,0.5676487708701864,0.06638146561265387,0.23846153846153847
