idx,date,dissim
300,2020-10-30,0.8571428571428572
320,2020-11-19,0.9090909090909091
340,2020-12-09,0.8571428571428572
360,2020-12-29,0.9090909090909091
380,2021-01-18,0.9090909090909091
400,2021-02-07,0.8571428571428572
420,2021-02-27,0.9090909090909091
440,2021-03-19,0.6666666666666667
460,2021-04-08,0.736842105263158
480,2021-04-28,0.8571428571428572
500,2021-05-18,0.9090909090909091
520,2021-06-07,0.8571428571428572
540,2021-06-27,0.8571428571428572
560,2021-07-17,0.736842105263158
580,2021-08-06,0.8571428571428572
600,2021-08-26,0.8571428571428572
620,2021-09-15,0.9090909090909091
640,2021-10-05,0.8571428571428572
660,2021-10-25,0.9090909090909091
680,2021-11-14,0.8571428571428572
700,2021-12-04,0.8
720,2021-12-24,0.8571428571428572
740,2022-01-13,0.8571428571428572
760,2022-02-02,0.8
780,2022-02-22,0.9565217391304348
800,2022-03-14,0.9565217391304348
820,2022-04-03,0.8571428571428572
840,2022-04-23,0.8571428571428572
860,2022-05-13,0.9090909090909091
880,2022-06-02,0.8
900,2022-06-22,0.736842105263158
920,2022-07-12,0.8571428571428572
940,2022-08-01,0.8
960,2022-08-21,0.8571428571428572
980,2022-09-10,0.8571428571428572
1000,2022-09-30,0.8571428571428572
1020,2022-10-20,0.9565217391304348
1040,2022-11-09,0.8
1060,2022-11-29,0.8571428571428572
1080,2022-12-19,0.9090909090909091
1100,2023-01-08,0.9090909090909091
1120,2023-01-28,0.9090909090909091
1140,2023-02-17,0.8571428571428572
1160,2023-03-09,0.9090909090909091
1180,2023-03-29,0.8
1200,2023-04-18,0.9090909090909091
1220,2023-05-08,0.8571428571428572
1240,2023-05-28,0.8571428571428572
1260,2023-06-17,0.736842105263158
1280,2023-07-07,0.736842105263158
1300,2023-07-27,0.8
1320,2023-08-16,0.8
1340,2023-09-05,0.8571428571428572
1360,2023-09-25,0.8571428571428572
1380,2023-10-15,0.9090909090909091
1400,2023-11-04,0.9565217391304348
1420,2023-11-24,0.9565217391304348
1440,2023-12-14,0.8
1460,2024-01-03,0.8571428571428572
1480,2024-01-23,0.8571428571428572
1500,2024-02-12,0.9565217391304348
1520,2024-03-03,0.9090909090909091
