date,dissimilarity
2020-06-29,0.6666666666666667
2020-08-28,0.8
2020-10-27,0.736842105263158
2020-12-26,0.4
2021-02-24,0.4
2021-04-25,0.5882352941176471
2021-06-24,0.5882352941176471
2021-08-23,0.6666666666666667
2021-10-22,0.8571428571428572
2021-12-21,0.5882352941176471
2022-02-19,0.736842105263158
2022-04-20,0.5
2022-06-19,0.6666666666666667
2022-08-18,0.5882352941176471
2022-10-17,0.8
2022-12-16,0.6666666666666667
2023-02-14,0.4
2023-04-15,0.6666666666666667
2023-06-14,0.5882352941176471
2023-08-13,0.736842105263158
2023-10-12,0.6666666666666667
2023-12-11,0.5882352941176471
2024-02-09,0.0
2024-04-09,0.5882352941176471
2024-06-08,0.5882352941176471
