auroc,auprc,f1,shd,dataset,kind,d,n,seed,method,time_s,n_params,gen_seed
0.9733333333333334,0.9428571428571428,0.8888888888888888,1,nonlin_d5_n1500,nonlinear,5,1500,44,Correlation,0.003,,44
0.9866666666666668,0.9666666666666666,0.9090909090909092,1,nonlin_d5_n1500,nonlinear,5,1500,44,NOTEARS,0.081,,44
1.0,1.0,1.0,0,nonlin_d5_n1500,nonlinear,5,1500,44,GOLEM,0.193,,44
1.0,1.0,1.0,0,nonlin_d5_n1500,nonlinear,5,1500,44,PCMCI,0.229,,44
1.0,1.0,1.0,0,nonlin_d5_n1500,nonlinear,5,1500,44,VarLiNGAM,0.243,,44
0.9066666666666668,0.8833333333333333,0.8888888888888888,1,nonlin_d5_n1500,nonlinear,5,1500,44,GC-KAN,8.495,,44
0.9066666666666668,0.8833333333333333,0.8888888888888888,1,nonlin_d5_n1500,nonlinear,5,1500,44,GC-KAN+ALM,7.828,,44
0.72,0.4227272727272727,0.5882352941176471,7,nonlin_d5_n1500,nonlinear,5,1500,44,Neural-GC,5.381,,44
0.8933333333333334,0.8500000000000001,0.8888888888888888,1,nonlin_d5_n1500,nonlinear,5,1500,44,NTS-NOTEARS,17.667,,44
0.9866666666666668,0.9666666666666666,0.9090909090909092,1,nonlin_d5_n1500,nonlinear,5,1500,44,CD-KAN,0.873,830.0,44
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,42,VAR-Lasso,0.02,,42
0.98849252013809,0.9290944201372008,0.9090909090909092,2,linear_d10_n2000,linear,10,2000,42,Correlation,0.007,,42
0.998849252013809,0.9924242424242424,0.9565217391304348,1,linear_d10_n2000,linear,10,2000,42,NOTEARS,0.081,,42
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,42,GOLEM,0.201,,42
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,42,PCMCI,0.99,,42
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,42,VarLiNGAM,0.542,,42
0.995397008055236,0.9757575757575758,0.9523809523809524,1,linear_d10_n2000,linear,10,2000,42,GC-KAN,36.029,,42
0.9930955120828538,0.967914438502674,0.9523809523809524,1,linear_d10_n2000,linear,10,2000,42,GC-KAN+ALM,35.337,,42
0.8089758342922899,0.3420342921537564,0.4666666666666667,16,linear_d10_n2000,linear,10,2000,42,Neural-GC,11.302,,42
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,42,NTS-NOTEARS,25.162,,42
0.998849252013809,0.9924242424242424,0.9565217391304348,1,linear_d10_n2000,linear,10,2000,42,CD-KAN,2.022,3310.0,42
1.0,1.0,1.0,0,linear_d10_n2000,linear,10,2000,43,VAR-Lasso,0.02,,43
0.9948364888123924,0.9379251700680272,0.9333333333333332,1,linear_d10_n2000,linear,10,2000,43,Correlation,0.007,,43
