tau_init,lambda_sparse,rho_init,grid_size,final_val_mse,min_val_mse,final_h,min_h
1.0,0.01,1.0,5,0.9959568381309509,0.9959568381309509,0.020565032958984375,0.020565032958984375
1.0,0.1,1.0,5,0.9977380633354187,0.9974547028541565,0.043033599853515625,0.03328895568847656
0.5,0.01,1.0,5,0.9977372288703918,0.9974539279937744,0.027588367462158203,0.027588367462158203
0.5,0.1,1.0,5,0.9977388978004456,0.9974550008773804,0.043048858642578125,0.03328895568847656
