Price,GLD,WTI,DXY,SPX,BTC,SLV,COPPER,NG
Ticker,GLD,CL=F,DX-Y.NYB,^GSPC,BTC-USD,SLV,HG=F,NG=F
Date,,,,,,,,
2021-03-09,160.83999633789062,64.01000213623047,91.95999908447266,3875.43994140625,54824.1171875,24.049999237060547,4.019499778747559,2.6619999408721924
2021-03-10,161.66000366210938,64.44000244140625,91.79000091552734,3898.81005859375,56008.55078125,24.31999969482422,4.041999816894531,2.691999912261963
2021-03-11,161.52000427246094,66.0199966430664,91.41999816894531,3939.340087890625,57805.12109375,24.25,4.14300012588501,2.6679999828338623
2021-03-12,161.49000549316406,65.61000061035156,91.68000030517578,3943.340087890625,57332.08984375,24.030000686645508,4.145500183105469,2.5999999046325684
2021-03-13,161.49000549316406,65.61000061035156,91.68000030517578,3943.340087890625,61243.0859375,24.030000686645508,4.145500183105469,2.5999999046325684
2021-03-14,161.49000549316406,65.61000061035156,91.68000030517578,3943.340087890625,59302.31640625,24.030000686645508,4.145500183105469,2.5999999046325684
2021-03-15,162.1999969482422,65.38999938964844,91.83000183105469,3968.93994140625,55907.19921875,24.329999923706055,4.146500110626221,2.4839999675750732
2021-03-16,162.35000610351562,64.80000305175781,91.87000274658203,3962.7099609375,56804.90234375,24.100000381469727,4.078999996185303,2.562000036239624
2021-03-17,163.50999450683594,64.5999984741211,91.4000015258789,3974.1201171875,58870.89453125,24.420000076293945,4.127999782562256,2.5280001163482666
2021-03-18,162.55999755859375,60.0,91.8499984741211,3915.4599609375,57858.921875,24.100000381469727,4.117000102996826,2.4809999465942383
2021-03-19,163.24000549316406,61.41999816894531,91.91999816894531,3913.10009765625,58346.65234375,24.309999465942383,4.123499870300293,2.5350000858306885
2021-03-20,163.24000549316406,61.41999816894531,91.91999816894531,3913.10009765625,58313.64453125,24.309999465942383,4.123499870300293,2.5350000858306885
2021-03-21,163.24000549316406,61.41999816894531,91.91999816894531,3913.10009765625,57523.421875,24.309999465942383,4.123499870300293,2.5350000858306885
